plant	time	x	y	r_stem	h_stem	r_crown	r_root	growth	ag_resources	bg_resources	salinity
Initial_000000002	69000000.0	12.0	11.0	0.03397513861976485	3.556906420769705	1.0178201189648555	0.6290688114345498	0.0003343979349664926	0.08088321813909115	0.07905847780741937	0.0
Initial_000000001	70000000.0	10.0	11.0	0.12093545140293539	6.169292372738634	2.561550715408632	1.5845738125391577	0.0016741757447523604	0.5145810333923403	0.49274080430108635	0.0
Initial_000000002	70000000.0	12.0	11.0	0.034113426801498016	3.56370400204083	1.020830106828025	0.630926683092747	0.00033626100663336315	0.08136393492122604	0.07952185937849206	0.0
Initial_000000001	71000000.0	10.0	11.0	0.12105962710950244	6.17198183500507	2.563442023067042	1.5857485456540485	0.0016760009989007767	0.5153423088956361	0.49346412416288404	0.0
Initial_000000002	71000000.0	12.0	11.0	0.034251797324306665	3.5704842141424615	1.0238388586332088	0.6327837996269577	0.00033812773828291036	0.08184587977302221	0.07998639251522487	0.0
Initial_000000001	72000000.0	10.0	11.0	0.12118375137316302	6.174668707952288	2.5653319498015046	1.5869224315729409	0.0016778245464092382	0.5161035904671718	0.49418744591368036	0.0
Initial_000000002	72000000.0	12.0	11.0	0.03439024932570487	3.577247156331083	1.0268463622315471	0.6346401536827628	0.0003399981096694514	0.08232904898232561	0.08045207364108051	0.0
Initial_000000001	73000000.0	10.0	11.0	0.12130782419214511	6.177352996081995	2.5672204970631625	1.5880954711734923	0.0016796463860514169	0.5168648774603714	0.49491076895112107	0.0
Initial_000000002	73000000.0	12.0	11.0	0.03452878194797553	3.58399292694938	1.029852605612889	0.6364957379896433	0.0003418721005715643	0.08281343883703224	0.08091889918063506	0.0
Initial_000000001	74000000.0	10.0	11.0	0.12143184556480112	6.180034703883092	2.569107666301362	1.589267665332292	0.0016814665166104501	0.5176261692305588	0.49563409267462144	0.0
Initial_000000002	74000000.0	12.0	11.0	0.034667394338157694	3.5907216234378834	1.0328575769046011	0.6383505453602589	0.000343749690792736	0.08329904562524906	0.08138686555972068	0.0
Initial_000000001	75000000.0	10.0	11.0	0.12156033628504237	6.182682696920642	2.5705866258459777	1.590481689646689	0.0016638442713999026	0.5183874651349533	0.4922211046813169	0.0007596973503082443
Initial_000000002	75000000.0	12.0	11.0	0.03484112613106578	3.5971091896894496	1.0337685429647094	0.6406723174716413	0.0003296007328592427	0.08378586563545198	0.07844530382200089	0.0038257008921745946
Initial_000000001	76000000.0	10.0	11.0	0.12168849969777035	6.185328169798177	2.572082216200815	1.591695637401726	0.0016658814459591395	0.5189844776893631	0.4929874531995684	0.0007596919291737653
Initial_000000002	76000000.0	12.0	11.0	0.03501024230614267	3.603478480965969	1.034864374879789	0.6430236677376431	0.00033218746086077176	0.08393372675568807	0.07906172309320522	0.0038256597240522395
Initial_000000001	77000000.0	10.0	11.0	0.12181621641242234	6.187972134232276	2.573605964378716	1.5929080252657852	0.001668538057086626	0.5195885530143945	0.4938860037011191	0.0007351804406396606
